Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-04 04:00:00-05:00,191.1,191.1,190.11,190.26,0,0.0,0.0
2023-12-04 05:00:00-05:00,190.24,190.42,190.23,190.34,0,0.0,0.0
2023-12-04 06:00:00-05:00,190.36,190.41,190.08,190.25,0,0.0,0.0
2023-12-04 07:00:00-05:00,190.25,190.34,189.78,189.97,0,0.0,0.0
2023-12-04 08:00:00-05:00,189.97,191.24,189.8,190.11,0,0.0,0.0
2023-12-04 09:00:00-05:00,190.09,190.12,189.76,189.83,0,0.0,0.0
2023-12-04 09:30:00-05:00,189.97999572753906,190.0500030517578,188.08999633789062,188.16000366210938,10608539,0.0,0.0
2023-12-04 10:30:00-05:00,188.16000366210938,188.27999877929688,187.4510955810547,187.97000122070312,6707290,0.0,0.0
2023-12-04 11:30:00-05:00,187.9600067138672,188.57000732421875,187.8350067138672,188.45419311523438,3813425,0.0,0.0
2023-12-04 12:30:00-05:00,188.4600067138672,188.80999755859375,188.4199981689453,188.54989624023438,2820690,0.0,0.0
2023-12-04 13:30:00-05:00,188.5449981689453,188.96499633789062,188.49000549316406,188.85000610351562,2892130,0.0,0.0
2023-12-04 14:30:00-05:00,188.83999633789062,189.1300048828125,188.72000122070312,189.05999755859375,3402787,0.0,0.0
2023-12-04 15:30:00-05:00,189.06500244140625,189.66000366210938,188.97999572753906,189.4499969482422,5548831,0.0,0.0
2023-12-04 16:00:00-05:00,189.43,191.975,189.02,189.16,0,0.0,0.0
2023-12-04 17:00:00-05:00,189.175,189.83,189.12,189.13,0,0.0,0.0
2023-12-04 18:00:00-05:00,189.22,196.0125,176.2884,189.05,0,0.0,0.0
2023-12-05 04:00:00-05:00,188.5,189.54,188.33,188.86,0,0.0,0.0
2023-12-05 05:00:00-05:00,188.88,188.88,187.97,188.58,0,0.0,0.0
2023-12-05 06:00:00-05:00,188.59,188.86,188.39,188.7,0,0.0,0.0
2023-12-05 07:00:00-05:00,188.71,189.32,188.55,189.16,0,0.0,0.0
2023-12-05 08:00:00-05:00,189.13,190.5,188.0119,190.34,0,0.0,0.0
2023-12-05 09:00:00-05:00,190.31,190.49,189.64,189.95,0,0.0,0.0
2023-12-05 09:30:00-05:00,190.2100067138672,194.30999755859375,190.17999267578125,193.58999633789062,22073030,0.0,0.0
2023-12-05 10:30:00-05:00,193.5845947265625,194.39999389648438,193.47000122070312,193.55999755859375,8331133,0.0,0.0
2023-12-05 11:30:00-05:00,193.55999755859375,193.8000030517578,192.6199951171875,193.75999450683594,6074350,0.0,0.0
2023-12-05 12:30:00-05:00,193.77000427246094,193.8300018310547,192.9499969482422,193.13999938964844,4164417,0.0,0.0
2023-12-05 13:30:00-05:00,193.14500427246094,193.30999755859375,192.75,192.99000549316406,5223621,0.0,0.0
2023-12-05 14:30:00-05:00,193.0,193.47000122070312,192.77000427246094,193.1916961669922,4787623,0.0,0.0
2023-12-05 15:30:00-05:00,193.19500732421875,193.5399932861328,192.8699951171875,193.5,6418486,0.0,0.0
2023-12-05 16:00:00-05:00,193.5,193.51,193.31,193.4,0,0.0,0.0
2023-12-05 17:00:00-05:00,193.41,200.51308,188.15,193.235,0,0.0,0.0
2023-12-05 18:00:00-05:00,193.22,193.42,192.89,193.33,0,0.0,0.0
2023-12-06 04:00:00-05:00,193.42,193.94,193.42,193.73,0,0.0,0.0
2023-12-06 05:00:00-05:00,193.7,193.78,193.49,193.68,0,0.0,0.0
2023-12-06 06:00:00-05:00,193.65,193.75,193.4,193.46,0,0.0,0.0
2023-12-06 07:00:00-05:00,193.44,193.55,193.22,193.41,0,0.0,0.0
2023-12-06 08:00:00-05:00,193.41,193.93,193.2,193.68,0,0.0,0.0
2023-12-06 09:00:00-05:00,193.66,194.33,193.66,194.14,0,0.0,0.0
2023-12-06 09:30:00-05:00,194.4499969482422,194.75999450683594,192.2050018310547,192.4199981689453,11260893,0.0,0.0
2023-12-06 10:30:00-05:00,192.4199981689453,193.33999633789062,192.360107421875,193.09500122070312,4374474,0.0,0.0
2023-12-06 11:30:00-05:00,193.10000610351562,193.1300048828125,192.47000122070312,192.8300018310547,3252326,0.0,0.0
2023-12-06 12:30:00-05:00,192.83999633789062,192.97999572753906,192.3699951171875,192.90589904785156,3389634,0.0,0.0
2023-12-06 13:30:00-05:00,192.91000366210938,193.23500061035156,192.74000549316406,192.77999877929688,2713794,0.0,0.0
2023-12-06 14:30:00-05:00,192.77999877929688,193.0500030517578,192.33999633789062,192.42599487304688,3147189,0.0,0.0
