Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-04 04:00:00-05:00,133.51,133.51,132.85,132.85,0,0.0,0.0
2023-12-04 05:00:00-05:00,132.86,132.86,132.57,132.63,0,0.0,0.0
2023-12-04 06:00:00-05:00,132.58,132.68,132.52,132.56,0,0.0,0.0
2023-12-04 07:00:00-05:00,132.56,132.59,132.05,132.31,0,0.0,0.0
2023-12-04 08:00:00-05:00,132.28,133.52,131.91,131.965,0,0.0,0.0
2023-12-04 09:00:00-05:00,131.99,132.01,131.51,131.64,0,0.0,0.0
2023-12-04 09:30:00-05:00,131.29400634765625,131.4499969482422,129.39999389648438,129.52999877929688,6209245,0.0,0.0
2023-12-04 10:30:00-05:00,129.52499389648438,129.9066925048828,129.39999389648438,129.89999389648438,2758567,0.0,0.0
2023-12-04 11:30:00-05:00,129.91000366210938,130.44000244140625,129.67999267578125,130.27000427246094,2647621,0.0,0.0
2023-12-04 12:30:00-05:00,130.27000427246094,130.61000061035156,130.0,130.0050048828125,1644844,0.0,0.0
2023-12-04 13:30:00-05:00,130.0050048828125,130.25999450683594,129.58999633789062,129.89999389648438,1669438,0.0,0.0
2023-12-04 14:30:00-05:00,129.89500427246094,130.5399932861328,129.6999969482422,130.4550018310547,2977591,0.0,0.0
2023-12-04 15:30:00-05:00,130.4499969482422,130.77999877929688,130.42999267578125,130.6699981689453,2866262,0.0,0.0
2023-12-04 16:00:00-05:00,130.67,130.89,130.51,130.71,0,0.0,0.0
2023-12-04 17:00:00-05:00,130.73,131.26,130.69,130.835,0,0.0,0.0
2023-12-04 18:00:00-05:00,130.81,130.9,130.45,130.63,0,0.0,0.0
2023-12-05 04:00:00-05:00,130.63,130.63,130.19,130.22,0,0.0,0.0
2023-12-05 05:00:00-05:00,130.24,130.25,129.84,129.88,0,0.0,0.0
2023-12-05 06:00:00-05:00,129.99,130.15,129.81,130.02,0,0.0,0.0
2023-12-05 07:00:00-05:00,130.02,130.1,129.77,129.93,0,0.0,0.0
